#Fixed HDF5, Moving HDF5, Shift[0] (um), Shift[1] (um), Distance (nm), start key, end key, method, sig key, reference hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211014_0000_37.5_inner_2.hdf5,-1.984,0.216,1995.50,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211013_0003_37.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210912_0000_37.5_outer_1.hdf5,1.045,0.176,1059.92,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211013_0003_37.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210903_0004_45_inner_1.hdf5,1.644,0.193,1655.54,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210904_0000_45_inner_2.hdf5,1.594,0.333,1628.17,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210904_0004_45_inner_2.hdf5,1.546,0.280,1571.31,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210927_0003_45_inner_1.hdf5,1.374,-0.161,1383.65,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210928_0000_45_inner_2.hdf5,1.288,-0.133,1295.15,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210928_0001_45_inner_3.hdf5,1.388,-0.144,1395.70,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211021_0003_45_inner_1.hdf5,-2.594,-0.191,2601.31,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211022_0000_45_inner_2.hdf5,-2.508,-0.153,2512.41,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210903_0003_45_outer_1.hdf5,1.736,-0.014,1736.31,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211021_0002_45_outer_1.hdf5,-2.753,-0.142,2756.91,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210927_0002_45_outer_1.hdf5
